,date,league,side,teamname,result,win_rate_before,avg_kills_before,avg_deaths_before,avg_assists_before,avg_dragons_before,avg_barons_before,avg_heralds_before,avg_towers_before,avg_visionscore_before,avg_earnedgold_before,avg_earned gpm_before,avg_cspm_before,avg_golddiffat15_before,avg_xpdiffat15_before,avg_csdiffat15_before,avg_firstblood_before,avg_firsttower_before
0,2026-03-16,FST,Red,Bilibili Gaming,1,0.5,17.5125,14.5625,38.55625,2.425,0.76875,0.55,6.48125,306.15,41960.225,1354.63803875,35.311075625,342.55,295.875,3.0625,0.53125,0.55
1,2026-03-16,FST,Blue,Bilibili Gaming,0,1.0,29.0,9.0,62.0,2.0,2.0,1.0,9.0,307.0,47099.0,1588.4992,36.3238,2059.0,1499.0,8.0,1.0,1.0
2,2026-03-16,FST,Red,Bilibili Gaming,0,0.5,20.0,11.0,42.0,1.5,1.5,1.0,5.5,260.0,39826.5,1416.30055,36.46765,1900.0,1276.5,3.5,1.0,0.5
3,2026-03-16,FST,Red,Bilibili Gaming,1,0.3333333333333333,19.0,15.0,39.333333333333336,1.3333333333333333,1.0,1.0,4.666666666666667,275.6666666666667,41310.0,1390.0916,36.16473333333334,1139.6666666666667,483.0,-4.0,1.0,0.3333333333333333
4,2026-03-16,FST,Blue,Bilibili Gaming,1,0.5,19.25,12.25,42.25,1.75,1.0,1.0,6.0,261.25,40873.75,1431.988,36.01135,1620.75,671.25,5.0,1.0,0.5
5,2026-03-18,FST,Blue,Bilibili Gaming,1,0.6,20.4,13.0,45.0,2.2,1.0,1.0,6.8,286.4,43118.8,1449.8181399999999,35.857260000000004,1866.2,598.4,10.8,0.8,0.6
6,2026-03-18,FST,Blue,Bilibili Gaming,1,0.6666666666666666,19.666666666666668,12.166666666666666,43.666666666666664,2.5,1.0,1.0,7.333333333333333,297.3333333333333,43694.666666666664,1444.23855,36.1811,1801.5,783.3333333333334,15.166666666666666,0.6666666666666666,0.6666666666666666
7,2026-03-18,FST,Blue,Bilibili Gaming,1,0.7142857142857143,19.428571428571427,11.428571428571429,43.285714285714285,2.4285714285714284,1.0,1.0,7.428571428571429,295.85714285714283,43339.42857142857,1434.8036142857143,36.00998571428572,1766.5714285714287,697.1428571428571,15.142857142857142,0.7142857142857143,0.7142857142857143
8,2026-03-21,FST,Red,Bilibili Gaming,1,0.75,20.375,11.5,43.0,2.625,1.0,1.0,7.625,294.625,43817.375,1451.5299375,36.0819125,2297.75,1277.625,22.125,0.75,0.75
9,2026-03-21,FST,Blue,Bilibili Gaming,1,0.7777777777777778,20.555555555555557,11.444444444444445,44.333333333333336,2.5555555555555554,1.1111111111111112,1.0,7.888888888888889,300.8888888888889,44524.444444444445,1463.0484222222221,36.09484444444445,2111.222222222222,1251.2222222222222,22.555555555555557,0.7777777777777778,0.7777777777777778
10,2026-03-21,FST,Blue,Bilibili Gaming,1,0.8,20.0,11.0,43.5,2.5,1.1,1.0,8.0,300.3,44216.7,1455.9053,36.16527,1709.7,1133.6,17.0,0.7,0.7
